songinfo,lyrics,year
ARETHA FRANKLIN - SPANISH HARLEM LYRICS,"La la la, la la la, la la la la La la la, la la la, la la la la  Theres a rose in black and Spanish Harlem A  rose in black and Spanish Harlem It is the special one, it never sees the sun It only comes out when the moon is on the run And all the stars are gleamin Its growing in the street right up through the concrete But soft and sweet and dreamin  There is a rose in Spanish Harlem A rose in black and Spanish Harlem  With eyes as black as coal that look down in his soul And starts a fire there and then he lose his control Im gonna beg his pardon, yeah Hes going to pick that rose And watch her as she grows in his garden  There is a rose in Spanish Harlem A  rose in black and Spanish Harlem  With eyes as black as coal that look down in his soul And start a fire there, then he lose his control And Im gonna beg his pardon Hes going to pick that rose And watch her as she grows in his garden  La la la, la la la, la la la la La la, la la la, la la la la",1971
JOHNNIE TAYLOR - DISCO LADY LYRICS,"Shake it up, shake it down Move it in, move it round, disco lady Move it in, move it out Move it in and about disco lady  Shake it up, shake it down Move it in, move it around, disco lady  Hey sexy lady Said I like the way you move your thang, Lord, have mercy girl you dance so fine, and youre right on time Girl you ought to be on TV on soul train  When you get the groove, it aint no stoppin Just cant help it, but Im, Im finger pop-pin  Shake it up, shake it down Move it in, move it round, disco lady Move it in, move it out Move it in and about, disco lady  Shake it baby, shake it Baby, shake your thang Shake it baby, shake it Baby, shake your thang  You got me groovin, I feel like movin You got me lovin cant sit still Im groovin I like that funky stuff  Shake it up, shake it down Move it in, move it round, disco lady Shove it in, move it out Move it in and about, disco lady  Hey sexy lady! Girl, you drive me crazy You dance so fine and youre right on time Girl, youre driving me out of my mind  If it wasnt for the girl sittin next to me Id jump right up and out-ta my safety seat You got me hypnotized, soul mesmo-ized Girl, your movin me girl your groovin me  Shake it baby, shake it Shake it baby, shake it Shake it baby, shake it Shake it baby, shake it  Shake it baby, shake it Shake it baby, shake it Shake it baby, shake it Shake it baby, shake it  Shake it up, shake it down Move it in, move it round, disco lady Move it in, move it out Shove it in and about, disco lady  Shake it up, shake it down Move it in, move it round, disco lady Move it in, move it out Shove it in and about, disco lady  Shake it up, shake it down Move it in, move it round, disco lady",1976
MAC DAVIS - ONE HELL OF A WOMAN LYRICS,"Shes a woman, shes a baby  Shes a witch, shes a lady  Shes a free and gentle spirit  She can be what she wants to be  If she wants to be with me tonight  Thats alright   Shes one hell of a woman  Young and strong and tame  But soft when she loves me  Like a gentle kitten in my hand  She makes me feel like a hell of a man   Shes wild, warm and tender  Shell resist, then shell surrender  Shes a free and gentle spirit  She can be what she wants to be  And if she wants to be with me tonight  Well, thats alright   Shes one hell of a woman  Young and strong and tame  But soft when she loves me  Like a gentle kitten in my hand  She makes me feel like a hell of a man   Shes one hell of a woman  Young and strong and tame  But Lord when she loves me  She makes me feel like a hell of the man   Shes one hell of a woman  Young and strong and tame  But Lord when she loves me  She makes me feel like a hell of the man",1974
LOBO - ME AND YOU AND A DOG NAMED BOO LYRICS,I remember to this day The bright red Georgia clay And how it stuck to the tires After the summer rain Will power made that old car go A womans mind told me that so Oh how I wish We were back on the road again  Me and you and a dog named boo Travellin and livin off the land Me and you and a dog named boo How I love being a free man  I can still recall The wheat fields of St. Paul  And the morning we got caught Robbing from an old hen Old McDonald he made us work But then he paid us for what it was worth Another tank of gas And back on the road again  Ill never forget the day We motored stately into big L.A. The lights of the city put settlin Down in my brain Though its only been a month or so That old cars buggin us to go Weve gotta get away and get back on The road again,1971
FLEETWOOD MAC - SAY YOU LOVE ME LYRICS,"Have mercy baby, on a poor girl like me You know Im fallin, fallin, fallin at your feet Im tinglin right from my head to my toes So help me, help me, help me make the feelin grow  Cause when the lovin starts and the lights go down And theres not another livin soul around You woo me until the sun comes up And you say that you love me  Pretty baby, just when I thought it was over And now you got me runnin, runnin, runnin for cover Im beggin you for a little sympathy Oh and if you use me again itll be the end of me  Cause when the lovin starts and the lights go down And theres not another livin soul around You woo me until the sun comes up And you say that you love me  Dont wanna talk about it Dont wanna think about it Dont wanna think about it anymore  Cause baby, baby hope youre gonna stay away Cause Im gettin weaker, weaker everyday I guess Im not as strong as I used to be Oh and if you use me again itll be the end of me  Cause when the lovin starts and the lights go down And theres not another livinsoul around You woo me until the sun comes up And you say that you love me  Cause when the lovin starts and the lights go down And theres not another livin soul around You woo me until the sun comes up And you say that you love me Say that you love me Say that you love me  Fallin fallin fallin Fallin fallin fallin yeah Fallin fallin fallin Fallin fallin fallin",1976
MAXINE NIGHTINGALE - LEAD ME ON LYRICS,"I have often heard you say You love me as a friend But I love you more than anyone You know I cant pretend no longer  I would give you anything Id throw my world But you dont wanna hear that anymore And you wanna hear me say  Come on and lead me on Come on and tease me all night long Loving you, I know its right Ill always need you, Ill never leave you  Come on and lead me on Tease me all night long Id rather be a fool with a broken heart Than someone who never had a part of you  You know I told you from the start Exactly how I feel Time goes on, seems nothings changed Im in love for real  We have never played the games That real lovers do So maybe we are better off Baby, Id still like this from you  Come on and lead me on Come on and tease me all night long Loving you I know its right Ill always need you, Ill never leave you  Come on and lead me on Tease me all night long Id rather be a fool with a broken heart Than someone who never had a part of you  Come on and lead me on (Come on and lead me) Come on and tease me all night long (Tease me all night long) Id rather be a fool with a broken heart Than someone who never had a part of you  Come on and lead me on (Come on and lead me) Tease me all night long (Tease me all night long) Loving you I know its right Ill always need you, Ill never leave you  Come on and lead me on Tease me all night long",1979
GIBB ANDY - I JUST WANT TO BE YOUR EVERYTHING LYRICS,"Gibb Andy Greatest Hits I Just Want To Be Your Everything For so long   You and me been finding each other for so long  And the feeling that I feel for you is more than strong, girl  Take it from me  If you give a little more then youre asking for, your love will turn the key    Darling mine   I would wait forever for those lips of wine  Build my world around you, darling, this love will shine girl  Watch it and see  If you give a little more than youre asking for, your love will turn the key   I, I just want to be your everything  Open up the heaven in your heart and let me be  The things you are to me and not some puppet on a string  Oh, if I stay here without you, darling, I will die  I want you laying in the love I have to bring  Id do anything to be your everything   Darling, for so long   You and me been finding each other for so long  And the feeling that I feel for you is more than strong girl  Take it from me  If you give a little more than youre asking for, your love will turn the key   CHORUS",1977
GLEN CAMPBELL - IT'S ONLY MAKE BELIEVE LYRICS,"Royalty  Were in the presence of royalty. Its our sovernign God and King, were before your throne, we bow at your feet. We worship you holy king. Its in your presences that I find joy, its in your presence that I find peace. I find rest for my soul and strength for my life lying here at your feet.  Were in the presence of royalty. Its our sovernign God and King, were before your throne, we bow at your feet. We worship you holy king. Its in your presence that I find joy, its in your presence that I find peace. I find rest for my soul and strength for my life lying here at your feet. In your presence there is fullness of joy In your right hand there are pleasures forevermore The nations sing The people rejoice Holy one above them all Matchless name we will call Ohh God we bow before you Worship you only  Were in the presence of royalty Its our sovereign god and king Were before your thrown And bow at your feet Worship you holy king  Were in the presence of royalty. Its our sovernign God and King, were before your throne, we bow at your feet. We worship you holy king. (Were in the presence of royalty)  Tellem its our sovernign God whose king and lord come on sang it. (Were in the presence of royalty). If you realize hes Lord I want you to open your mouth and lift your hands today and tell them today theres nobody like you were in the presence of royalty (Were in the presence of royalty). And lord when we reflect on who you are Jesus we have to lift our hands and open up our mouth. We praise you today Jesus. We just cant sit here with our lips close when we realize you for who you are youre sovernign forever God were in the presence.Your king of kings and your lord of lords.  And we bow that we will bless you, we bow that we worship, we bow that we thank you, we bow yes Lord Jesus Halliguah. God youre in throne with the praises of your people as the angels worship you were your people were gonna worship you Jesus yes (In the presence of royalty). We love you, we thank you, your god, your King, Your Lord, Your Sovernign, your everything (and we bless you and we thank you and we love you and we honor you as we lift you, (you are Jesus ) yes, yes thank you Lord thank you Jesus. (Were in the presence of royalty ) Solo: Were in the presence of royalty Its or sovereign god and king I find rest for my soul Strength for my life Lying here at your feet",1970
SONNY & CHER - A COWBOY'S WORK IS NEVER DONE LYRICS,"Ride, I used to jump my horse and ride I had a six gun at my side I was so handsome, women cried And I got shot but I never died  I could play, if I do everything hed say Girls seem to just get in his way Those days we werent considered fun A cowboys work is never done  Hed fight crime all the time Hed always win Till his mom would break it up And call him in   He was tough he was hard But he was kind And he was love, cause guys like him Were hard to find  Ride, I like to ride again some day I think I still know how to play Id play games now but its not fun A cowboys work is never done",1972
THE ROLLING STONES - BROWN SUGAR LYRICS,"Gold Coast slave ship bound for cotton fields Sold in a market down in New Orleans Scarred old slaver know hes doin alright Hear him whip the women just around midnight  Brown sugar, how come you taste so good Brown sugar, just like a young girl should  Drums beating, cold English blood runs hot Lady of the house wonderin where its gonna stop House boy knows that hes doin alright You should a heard him just around midnight  Brown sugar, how come you taste so good Brown sugar, just like a young girl should   Brown sugar, how come you taste so good Brown sugar, just like a black girl should  I bet your mama was a Tent Show queen And all her boyfriends were sweet sixteen Im no school boy but I know what I like You should have heard me just around midnight  Brown sugar, how come you taste so good Brown sugar, just like a young girl should   I said yeah, I said yeah, I said yeah, I said oh Just like a black girl should",1971
GEORGE BENSON - ON BROADWAY LYRICS,"They say the neon lights are bright on Broadway They say theres always magic in the air But when youre walkin down the street And you aint had enough to eat The glitter rubs right off and youre nowhere  They say the women treat you fine on Broadway But lookin at them just gives me the blues Cause how ya gonna make sometime When all you got is one thin dime And one thin dime wont even shine your shoes  They say that I wont last too long on Broadway Ill catch a Greyhound bus for home, they all say But theyre dead wrong, I know they are Cause I can play this here guitar And I wont quit till Im a star on Broadway  And I wont quit till Im a star on Broadway No, no, no, no Oh, oh, oh, oh And I wont quit till Im a star [Incomprehensible]  On Broadway On Broadway On Broadway On, on, on Broadway Yeah, yeah, yeah Broadway",1978
GIBB ANDY - (OUR LOVE) DON'T THROW IT ALL AWAY LYRICS,"Gibb Andy Greatest Hits (Our Love) Dont Throw It All Away Maybe I dont wanna know the reason why  But lately you dont talk to me  Darling, I cant see me in your eyes  I hold you near but youre so far away  And its losing you I cant believe  To watch you leave and let this feeling die  You alone are the living thing that keeps me alive  And tomorrow if Im here without your love, you know I cant survive  Only my love can raise you high above it all    Dont throw it all away, our love, our love  Dont throw it all away, our love  Dont throw it all away, our love, our love  Dont throw it all away, our love   We can take the darkness and make if full of light   But let your love flow back to me  How can you leave and let this feeling die?  This happy room will be a lonely place when you are gone  And I wont even have your shoulders for the crying on   No other womans love could be as true, Im begging you   CHORUS   We changed the world we made it ours to hold  But dreams are made for those who really try  This losing you is real, but I still feel you here inside   CHORUS",1979
JACKSON 5 - MAMA'S PEARL LYRICS,"You send cold chills up and down my spine We kiss for thrill, dont you draw the line, no, baby? (Oh, baby) Cause ya mama told you that love aint right But dont you know good lovin is the spice of life, yeah?  Mamas pearl, let down those curls Wont you give my love a whirl? Find what youve been missin? (What youve been missin?)  Ooh, ooh, now baby Goody girl, let down those curls Wont give you give your heart a twirl? Dont keep me wishin (Keep me wishin)  Boom, ba-boom, ba-boom, ba-boom, boom Boom, ba-boom, ba-boom, ba-boom, boom Boom, ba-boom, ba-boom, ba-boom, boom Boom, ba-boom, ba-boom, ba-boom, boom  You want my lovin and yes you do, do, do (Yes you do, I know you do) You know my lovin and its true, true, true now, baby (Oh, baby) But your conscience tell you love is wrong (Oh) But did you know good lovin never hurt no one  Oh, mamas pearl, let down those curls Wont you give my love a whirl? Find what youve been missin? (What youve been missin?)  Ooh, ooh, now baby Goody girl, let down those curls Let me give your heart a twirl Dont keep me wishin (Keep me wishin)  Let it all hang out, girl (Girl, dont be afraid) Oh, youve got the first step made Ooh, the rest is up to you Oh, feel is what you do Let yourself go  Let your lovin flow, now, now, now Let your lovin flow, now, now, now Just give in to me (Cause Ive got what you need) Got what you need  Lets fall in love, lets fall in love Find out what youre missin Goody girl, let those curls Let me give your heart a twirl Wont you give my love a whirl?  Girl, dont be afraid Oh, youve got the first step made Oh, just give in, just give in to me Cause Ive got what you need Got what you need  Lets fall in love, lets fall in love Let yourself go  Let your lovin flow Just give it to me (Cause Ive got what you need) (Got what you need)  Girl, dont be afraid (Lets fall in love, lets fall in love) Daddys girl, weve got it made (Lets fall in love, lets fall in love)  Find out what youve been missin, sugar Goody, goody, goody, girl, ooh, find out, girl Mamas pearl, dont be afraid (Lets fall in love, lets fall in love) Daddys girl, weve got it made (Lets fall in love, lets fall in love)  Girl, dont be afraid Ooh, weve got the first step made",1971
WHITE PLAINS - MY BABY LOVES LOVIN' LYRICS,"My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it  I was lonely once in this great big world Just a nowhere man without his girl When one day she came my way She smiled at me as if to say  My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it  Shes the only one makes me feel so good I believe my love so I knock on wood All my fears seem to fly away She looks at me as if to say  My baby loves love, my baby loves lovin Shes got what it takes, whoa  No more lonely nights just waiting for the telephone to ring No more lonely days my babys taken care of everything Im telling you now that  My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it  Shes the only one makes me feel so good I believe my love so I knock on wood All my fears seem to fly away She looks at me as if to say  My baby loves love, my baby loves lovin Shes got what it takes, whoa  My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it  My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it  My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it My baby loves love, my baby loves lovin Shes got what it takes and she know how to use it ...",1970
B.B. KING - THE THRILL IS GONE LYRICS,"The thrill is gone The thrill is gone away Oh the thrill is gone baby The thrill is gone away You know you done me wrong And you gonna be sorry, someday  The thrill is gone The thrill is gone away from me Oh the thrill is gone baby The thrill is gone away from me Although, Ill still live on But so lonely Ill be  The thrill is gone The thrill is gone away from me Oh the thrill is gone baby The thrill is gone away from me I know Ill be open armed baby Like I know a good man should  You know Im free now Im free from your spell Oh Im free, free, free now baby Im free from your spell And now that its all over All I can do is wish you well",1970
MARVIN GAYE - LET'S GET IT ON LYRICS,"Ive been really tryin, baby Tryin to hold back this feeling for so long And if you feel like I feel, baby Then, cmon, oh, cmon  Lets get it on Ah, baby, lets get it on Lets love, baby Lets get it on, sugar Lets get it on  Were all sensitive people With so much to give Understand me, sugar Since weve got to be here Lets live I love you  Theres nothing wrong with me Loving you, baby no no And giving yourself to me can never be wrong If the love is true  Dont you know how sweet and wonderful life can be Im asking you baby to get it on with me I aint gonna worry I aint gonna push, wont push you baby So cmon, cmon, cmon, cmon, cmon, baby Stop beatin round the bush  Lets get it on Lets get it on You know what Im talkin bout Cmon, baby Let your love come out If you believe in love Lets get it on Lets get it on, baby This minute, oh yeah Lets get it on Please, lets get it on  Cmon, cmon, cmon, cmon, cmon, darlin Stop beatin round the bush Oh, gonna get it on Threaten you, baby I wanna get it on You dont have to worry that its wrong If the spirit moves ya Let me groove ya good Let your love come down Oh, get it on Cmon, baby Do you know the meaning? Ive been sanctified Girl, you give me good feeling Ive been sanctified",1973
ELTON JOHN - BENNIE AND THE JETS LYRICS,"Hey kids, shake it loose together The spotlights hittin something Thats been known to change the weather Well kill the fatted calf tonight So stick around Youre gonna hear electric music Solid walls of sound  Say, Candy and Ronnie, have you seen them yet, woo But theyre so spaced out, Be-Be-Bennie and the Jets Oh but theyre weird and wonderful Oh Bennie shes really clean Shes got electric boots, a Mohair suit You know I read it in a magazine, ooh ho Be-Be-Bennie and the Jets  Hey kids, plug into the faithless Maybe theyre blinded But Bennie makes them ageless We shall survive, let us take ourselves along Where we fight our parents out in the streets To find whos right and whos wrong  Oh Candy and Ronnie, have you seen them yet Oh but theyre so spaced out, Be-Be-Bennie and the Jets Oh but theyre weird and wonderful Oh Bennie shes really clean Shes got electric boots, a Mohair suit You know I read it in a magazine, ooh ho Be-Be-Bennie and the Jets  Oh Candy and Ronnie, have you seen them yet Oh but theyre so spaced out, Be-Be-Bennie and the Jets Oh but theyre weird and wonderful Oh Bennie shes really clean Shes got electric boots, a Mohair suit You know I read it in a magazine, ooh ho Be-Be-Bennie and the Jets  Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie Bennie, Bennie, Bennie, Bennie and the Jets, Jets, Jets Bennie, Bennie, Bennie, Bennie Bennie, Bennie, Bennie, Bennie Bennie, Bennie, Bennie and the Jets",1974
SILVER - WHAM BAM SHANG-A-LANG LYRICS,"Starry nights, sunny days I always thought that love should be that way Then comes a time that youre ridden with doubt Youve loved all you can and now youre all loved out Ooh, ooh, baby, weve been a long, long way And whos to say where well be tomorrow Well my heart says no, but my mind says its so That we got a love, is it a love to stay  We got a wham bams hang-a-lang and as hal a la la la la thing Wham bam shang-a-lang and a sha la la la la la thing  Looking at you I wanted to say I think a little emotion goes a long, long way Careful now, dont get caught in your dreams  Look out baby this is not what it seems Ooh, ooh, baby, youve been so good to me But please dont make it what its not Well, I thought we agreed on what we need So listen to me, Ill tell you what we got  We got a wham ban shang-a-lang and a sha la la la la la thing Wham bam shang-a-lang and a sha la la la la la thing  I think youre seein what I been sayin Cause I hear you singin to the tune Im playin Now that its said and we both understand Lets say our goodbyes before it gets out of hand Bye, bye, baby, Id really like to stay But well remember the best time In our life  We had a sham bam shang-a-lang and a sha la la la la la thing Wham bam shang-a-lang and a sha la la la la la thing",1976
EARTH WIND AND FIRE - AFTER THE LOVE HAS GONE LYRICS,Earth Wind And Fire I Am After The Love Has Gone For awhile to love was all we could do  we were young and we knew   and our eyes were alive  Deep inside we knew our love was true   For awhile we paid no mind to the past   we knew love would last   Evry night somethin right  would invite us to begin the dance   Somethin happened along the way  what used to be happy was sad   Somethin happened along the way   and yesterday was all we had   And oh after the love has gone   how could you lead me on  and not let me stay around  Oh oh oh afterthe love has gone  what used to be right is wrong  Can love thats lost be found   For awhile to love each other with all  we would ever need  Love was strong for so long  never knew that what was  wrong oh baby wasnt right  We tried to find what we had  till sadness was all we shared  We were scared this affair would lead our love into  Somethin happened along the way  yesterday was all we had  Somethin happened along the way  what used to be happy is sad   Somethin happened along the way  oh yesterday was all we had  And oh after the love has gone  how could you lead me on  and not let me stay around  Oh oh oh after the love has gone  what used to be right is wrong  Can love thats lost be found   Oh oh oh oh oh oh after the love has gone  what used to be right is wrong  Can love thats lost be found  Oh woh woh after the love has gone  what used to be right is wrong  Can love thats lost be found   Oh woh woh after the love has gone  what used to be right is wrong  Can love thats lost be found  Oh woh woh  Oh woh woh after the love has gone  what used to be right is wrong  Can love thats lost be found   Woh woh woh after the love has gone  what used to be right is wrong  Can love thats lost be found  Woh woh woh,1979
DEBBY BOONE - YOU LIGHT UP MY LIFE LYRICS,"So many nights Id sit by my window Waiting for someone to sing me his song So many dreams I kept deep inside me Alone in the dark, but now youve come along  And you light up my life You give me hope to carry on You light up my days And fill my nights with song  Rollin at sea, adrift on the water Could it be finally Im turning for home Finally, a chance to say hey, I love you Never again to be all alone  Cause you light up my life You give me hope to carry on You light up my days And fill my nights with song  Cause you, you light up my life You give me hope to carry on You light up my days And fill my nights with song It cant be wrong When it feels so right Cause you, you light up my life",1978
AL GREEN - SHA-LA-LA (MAKE ME HAPPY) LYRICS,"Make me happy  Sha la la la la la la, oh baby Sha la la la la la la, oh baby  Ive been gone so long I know what to do, oh baby That I know you dont know all Ive been going through, baby Cause you make me happy baby, so I can say  Sha la la la la la la, I love you Sha la la la la la la, thinkin of you  I know you can tell whats on my mind, baby Ive been feeling this way for such a long time, yeah, baby Make me happy, baby, make me happy, I wanna be happy and say  Im trying and this feeling just wont die Sha la la la la la la, make you cry  Its something that just gets down in your bones, baby And once I see you I cant leave your love alone, heh, baby Make me happy baby, make me happy baby, let me sing  Sha la la la la la la, oh baby Oh let me sing Sha la la la la la la, baby",1975
LOOKING GLASS - BRANDY (YOU'RE A FINE GIRL) LYRICS,"Theres a port on a western bay And it serves a hundred ships a day Lonely sailors pass the time away And talk about their homes  And theres a girl in this harbor town And she works laying whiskey down They say, Brandy, fetch another round She serves them whiskey and wine  The sailors say, Brandy, youre a fine girl What a good wife you would be Yeah your eyes could steal A sailor from the sea  Brandy wears a braided chain Made of finest silver from the North of Spain A locket that bears the name Of the man that Brandy loves  He came on a summers day Bringing gifts from far away But he made it clear he couldnt stay No harbor was his home  The sailor said, Brandy, youre a fine girl What a good wife you would be But my life, my lover, my lady is the sea  Yeah, Brandy used to watch his eyes When he told his sailor stories She could feel the ocean foam rise She saw its raging glory  But he had always told the truth Lord, he was an honest man And Brandy does her best to understand  At night when the bars close down Brandy walks through a silent town And loves a man whos not around She still can hear him say  She hears him say, Brandy, youre a fine girl What a good wife you would be But my life, my lover, my lady is the sea  Brandy, youre a fine girl What a good wife you would be But my life, my lover, my lady is the sea",1972
